text,protext,class
"-Odeio feministas só falam merda
-Vamos fazer o q?
-Perfis falsos zoando coisas q nunca disseramkkk
-KKKKMitou",-Odeio feministas só falam merda -Vamos fazer o q? -Perfis falsos zoando coisas q nunca disseramkkk -KKKKMitou,1
"CHEGOU DANDO CANTADA NO CARNAVAL:
#CarnavalSemAssédio https://t.co/nR2SG157yr",CHEGOU DANDO CANTADA NO CARNAVAL: #CarnavalSemAssédio https://t.co/nR2SG157yr,0
"Diferença entre 'manifestante' e 'terrorista'.
Esquerdista = vagabundo baderneiro.
Conservador = patriota, gente do _ https://t.co/XvQzqwFtHs","Diferença entre 'manifestante' e 'terrorista'. Esquerdista = vagabundo baderneiro. Conservador = patriota, gente do _ https://t.co/XvQzqwFtHs",1
É legal pra um presidente 'grampear' uma corrida presidencial antes de uma eleição? Negado pelos tribunais hoje mai _ https://t.co/UUHy8AMFcr,É legal pra um presidente 'grampear' uma corrida presidencial antes de uma eleição? Negado pelos tribunais hoje mai _ https://t.co/UUHy8AMFcr,0
não há como negar a biologia....por mais que a esquerda queira decontruir com pensamentos filosóficos esdrúxulos _ https://t.co/6VszOgWmKb,não há como negar a biologia....por mais que a esquerda queira decontruir com pensamentos filosóficos esdrúxulos _ https://t.co/6VszOgWmKb,0
MULHER GOSTA DE HOMEM PORCO QUE FEDE ARROTA E TEM TERRA DEIBAIXO DAS UNHA #JOAQUINRESPONDE https://t.co/diQ51clUMa,MULHER GOSTA DE HOMEM PORCO QUE FEDE ARROTA E TEM TERRA DEIBAIXO DAS UNHA #JOAQUINRESPONDE https://t.co/diQ51clUMa,1
"@tiaomoreira @Ramo_Jr Um ataca (Soros) o outro se defende (Trump). No mínimo, 2 moedas diferentes.","USERNAME USERNAME Um ataca (Soros) o outro se defende (Trump). No mínimo, 2 moedas diferentes.",0
"EU VOU CANTAR ESSA PAIXAO QUE VEM DE DENTRO 
UM SENTIMENTO VERDE BRANCO E GRENÁ #DiaDeFlu",EU VOU CANTAR ESSA PAIXAO QUE VEM DE DENTRO  UM SENTIMENTO VERDE BRANCO E GRENÁ #DiaDeFlu,0
"Acabei de ouvir uma cigana dizer q 'os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado'.
O cliché morreu hj às 16h09",Acabei de ouvir uma cigana dizer q 'os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado'. O cliché morreu hj às 16h09,1
Ser mulher é ter que provar todo dia que não é burra e é tão competente quanto qualquer um.,Ser mulher é ter que provar todo dia que não é burra e é tão competente quanto qualquer um.,0
as fufas d lx são tão falsas q dói kkk,as fufas d lx são tão falsas q dói kkk,1
eu sou a mulher mais burra do brasil,eu sou a mulher mais burra do brasil,0
"RT @marcknho: @lobaoeletrico Venezuela só com intervenção militar externa, o povo não tem força armada e nem força física para lutar.","RT USERNAME: USERNAME Venezuela só com intervenção militar externa, o povo não tem força armada e nem força física para lutar.",0
"Tá doendo simmm, tá doendo em mimmmmm... NAMORADA DE FELIPE MELO- http://www.youtube.com/watch?v=AjV6YjREKqM","Tá doendo simmm, tá doendo em mimmmmm... NAMORADA DE FELIPE MELO- http://www.youtube.com/watch?v=AjV6YjREKqM",0
"O @whindersson nunes merece o título de maior youtuber do Brasil, e de respeito. Parabéns! #espiritosantocaos https://t.co/kKUTrzGX0a","O USERNAME nunes merece o título de maior youtuber do Brasil, e de respeito. Parabéns! #espiritosantocaos https://t.co/kKUTrzGX0a",0
Meu Deus !!!Que procuradora sem noção. A justiça no Brasil é um lixo mesmo.Quem nomeia esses idiotas? https://t.co/lLdK49UyZg,Meu Deus !!!Que procuradora sem noção. A justiça no Brasil é um lixo mesmo.Quem nomeia esses idiotas? https://t.co/lLdK49UyZg,1
"RT @jaaguara: Pode ser feia, pode ser gorda, só não pode ser feia e gorda.","RT USERNAME: Pode ser feia, pode ser gorda, só não pode ser feia e gorda.",1
RT @GABRIELPlNHEIRO: Olha essa menininha que apoia o Trump https://t.co/BdhMOuJ7nG,RT USERNAME: Olha essa menininha que apoia o Trump https://t.co/BdhMOuJ7nG,0
#SddsDeQuandoEu podia trocar a lâmpada sem que ninguém falasse q eu estou me apropriando da cultura dos homens,#SddsDeQuandoEu podia trocar a lâmpada sem que ninguém falasse q eu estou me apropriando da cultura dos homens,0
RT @Fernando_Songo: @HumorNegroo Denunciei ! #TrolandocomHumorNegro haha,RT USERNAME: USERNAME Denunciei ! #TrolandocomHumorNegro haha,0
"GRAVIDEZ SURPRESA NÃO EXISTE:
BOTA O PIU-PIU NA PERERECA SEM PROTEÇÃO E QUER GANHAR O QUE? UM AIFONE 7 PRA ELA E UM PLEISTEICHON 4 PRA ELE?",GRAVIDEZ SURPRESA NÃO EXISTE: BOTA O PIU-PIU NA PERERECA SEM PROTEÇÃO E QUER GANHAR O QUE? UM AIFONE 7 PRA ELA E UM PLEISTEICHON 4 PRA ELE?,1
Esse nome quase não é esquerdopata!!!!  hahahahah https://t.co/seRMgQWJVx,Esse nome quase não é esquerdopata!!!!  hahahahah https://t.co/seRMgQWJVx,1
